tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
0.0,3.788453636034227,3.7884536360342267,14.22271824531845,14.716366011058184,0.0,0.0,3.788453636034227,130.015823212847,37539.805834797364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.788453636034227,3.7884536360342267,14.461772268392872,16.221091502232813,0.0,0.0,3.788453636034227,164.8963599471181,48880.61193181374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.01188709901439,4.011887099014389,15.818012637797572,17.281975195754292,0.0,0.0,4.01188709901439,215.01501608691694,59329.180904027795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.01188709901439,4.011887099014389,15.88290485606039,18.30950832868254,0.0,0.0,4.01188709901439,285.49260685949224,70539.16571752043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.700707783010987,3.700707783010987,15.940365055268908,18.95659201840829,0.0,0.0,3.700707783010987,354.3307306270043,82237.49090738883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.700707783010987,3.700707783010987,16.403251710153896,18.07602990545372,0.0,0.0,3.700707783010987,397.54652318343585,94507.34294726723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.4682230938293785,3.468223093829379,16.535099752028223,18.00740588387641,0.0,0.0,3.4682230938293785,495.8776058666089,110457.89937765342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.4682230938293785,3.468223093829379,16.5937452358526,17.82240430576344,0.0,0.0,3.4682230938293785,589.2028755627628,127342.91703330964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.3806170189140663,3.3806170189140663,17.16807668735369,18.519487805320875,0.0,0.0,3.3806170189140663,703.1557911776499,143785.3598487624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.3806170189140663,3.3806170189140663,17.27866837902681,19.105720908371175,0.0,0.0,3.3806170189140663,791.201027973717,164364.09789578515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.65409098851971,3.65409098851971,17.028827099390973,19.64251947761721,0.2581988897471611,0.0,3.65409098851971,921.8662592805965,183192.0424647575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.65409098851971,3.65409098851971,17.481418706729723,19.613406493664336,0.2581988897471611,0.0,3.65409098851971,993.492339462881,193811.29350523264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.777124126457412,3.777124126457412,17.27866837902681,20.295906225734523,0.2581988897471611,0.0,3.777124126457412,1089.4394364600016,211594.1453903135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.777124126457412,3.777124126457412,17.07908774189178,20.617144968852177,0.2581988897471611,0.0,3.777124126457412,1176.1064010822606,231077.66476261368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.138092498218173,4.138092498218173,17.832020423411155,20.106383729220596,0.2581988897471611,0.0,4.138092498218173,1288.812532084144,259252.91222220677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.138092498218173,4.138092498218173,17.97564489869027,20.475304521254262,0.2581988897471611,0.0,4.138092498218173,1471.4594698558883,281928.110833798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.673124783064886,4.673124783064886,18.467990325605726,20.821234582123353,0.2581988897471611,0.0,4.673124783064886,1755.200552914789,294933.01652234775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.673124783064886,4.673124783064886,18.327185116261422,21.3915871313935,0.2581988897471611,0.0,4.673124783064886,2245.661951407647,310836.670381653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.627042663464842,4.627042663464842,18.817418475849394,21.20646801601544,0.2581988897471611,0.0,4.627042663464842,2613.2764273444714,338699.40632531943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
