tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory,condition
53.0,25.866666666666667,24.133333333333333,81.73333333333333,83.33333333333333,0.06666666666666667,0.0,25.866666666666667,1301.1333333333334,302397.6,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
54.0,25.866666666666667,24.133333333333333,84.8,85.2,0.06666666666666667,0.0,25.866666666666667,1551.8,286138.6666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
55.0,24.866666666666667,25.133333333333333,86.66666666666667,88.0,0.06666666666666667,0.0,24.866666666666667,1764.6,279731.4666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
56.0,24.866666666666667,25.133333333333333,89.06666666666666,91.6,0.06666666666666667,0.0,24.866666666666667,1998.2666666666667,273952.93333333335,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
57.0,23.533333333333335,26.466666666666665,92.13333333333334,93.86666666666666,0.06666666666666667,0.0,23.533333333333335,2337.8,258451.8,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
58.0,23.533333333333335,26.466666666666665,94.93333333333334,97.73333333333333,0.06666666666666667,0.0,23.533333333333335,2767.5333333333333,245263.73333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
59.0,22.733333333333334,27.266666666666666,98.26666666666667,100.93333333333334,0.06666666666666667,0.0,22.8,3285.866666666667,228850.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
60.0,22.733333333333334,27.266666666666666,101.6,104.13333333333334,0.06666666666666667,0.0,22.8,3923.6666666666665,219698.93333333332,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
61.0,22.066666666666666,27.933333333333334,103.86666666666666,107.46666666666667,0.06666666666666667,0.0,22.2,4734.066666666667,214912.6,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
62.0,22.066666666666666,27.933333333333334,106.93333333333334,110.33333333333333,0.06666666666666667,0.0,22.2,5611.533333333334,212602.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
63.0,21.0,29.0,110.4,113.13333333333334,0.06666666666666667,0.0,21.2,6878.333333333333,210227.13333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
64.0,21.0,29.0,112.93333333333334,116.6,0.06666666666666667,0.0,21.2,8040.0,211722.66666666666,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
65.0,20.066666666666666,29.933333333333334,115.86666666666666,118.86666666666666,0.06666666666666667,0.0,20.333333333333332,9811.333333333334,211203.53333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
66.0,20.066666666666666,29.933333333333334,119.33333333333333,121.4,0.06666666666666667,0.06666666666666667,20.333333333333332,11730.466666666667,211021.86666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
67.0,19.266666666666666,30.733333333333334,122.8,123.53333333333333,0.06666666666666667,0.13333333333333333,19.533333333333335,14167.466666666667,213296.46666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
68.0,19.266666666666666,30.733333333333334,125.33333333333333,125.66666666666667,0.06666666666666667,0.13333333333333333,19.533333333333335,17382.333333333332,228161.4,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
69.0,18.466666666666665,31.533333333333335,128.8,128.06666666666666,0.06666666666666667,0.13333333333333333,18.8,21304.4,197239.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
70.0,18.466666666666665,31.533333333333335,132.0,130.33333333333334,0.06666666666666667,0.13333333333333333,18.8,26435.466666666667,173757.06666666668,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
71.0,17.933333333333334,32.06666666666667,135.33333333333334,133.13333333333333,0.06666666666666667,0.13333333333333333,18.266666666666666,32279.6,151494.46666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
72.0,17.933333333333334,32.06666666666667,137.86666666666667,135.0,0.06666666666666667,0.13333333333333333,18.266666666666666,38041.6,137536.33333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
73.0,17.066666666666666,32.93333333333333,140.66666666666666,138.73333333333332,0.06666666666666667,0.13333333333333333,17.666666666666668,42847.26666666667,129367.46666666666,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
74.0,17.066666666666666,32.93333333333333,142.8,142.33333333333334,0.06666666666666667,0.13333333333333333,17.666666666666668,48909.0,112097.6,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
75.0,16.733333333333334,33.266666666666666,145.2,145.0,0.06666666666666667,0.13333333333333333,17.466666666666665,57014.13333333333,100507.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
76.0,16.733333333333334,33.266666666666666,147.86666666666667,147.93333333333334,0.13333333333333333,0.13333333333333333,17.466666666666665,67142.2,88471.93333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
77.0,16.4,33.6,150.66666666666666,151.4,0.06666666666666667,0.26666666666666666,17.333333333333332,76701.6,77805.26666666666,50.0,0.0,300.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,unhealthy
