tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory,condition
422.0,0.0,50.0,368.7,354.0,27.8,30.9,37.0,1597226.0,306828.2,23.8,26.2,128.0,51.3,120.7,745.4,559.4,749.1,562.1,1836.1,1865.0,healthy
423.0,0.0,50.0,369.1,355.0,27.7,30.8,36.8,1521073.1,310811.6,24.0,26.0,128.0,51.2,120.8,760.3,559.0,765.7,561.7,1847.9,1879.2,healthy
424.0,0.0,50.0,369.7,355.4,27.7,30.8,36.8,1463757.0,315181.5,24.1,25.9,128.0,51.1,120.9,776.2,558.9,775.7,562.6,1860.9,1892.1,healthy
425.0,0.0,50.0,369.7,355.6,27.5,30.7,37.1,1428214.7,277716.2,25.1,24.9,128.0,51.1,120.9,789.0,560.3,792.6,561.9,1872.8,1905.1,healthy
426.0,0.0,50.0,368.3,354.1,27.9,31.0,37.1,1395643.4,253064.4,25.4,24.6,128.0,51.1,120.9,804.8,559.2,807.1,562.2,1885.2,1917.3,healthy
427.0,0.0,50.0,368.8,353.4,27.8,31.1,37.4,1369249.3,242899.1,25.4,24.6,128.0,51.1,120.9,746.0,574.6,753.5,575.2,1898.0,1929.1,healthy
428.0,0.0,50.0,369.8,353.6,27.8,31.0,37.4,1353660.3,237123.0,25.4,24.6,128.0,51.0,121.0,762.2,573.2,768.4,574.2,1909.5,1942.2,healthy
429.0,0.0,50.0,370.2,354.6,27.8,30.8,37.3,1346687.3,211423.0,26.0,24.0,127.9,51.0,121.1,777.7,572.5,782.1,574.7,1921.6,1954.1,healthy
430.0,0.0,50.0,370.6,354.2,27.8,30.8,37.3,1292261.5,193995.6,25.9,24.1,127.9,51.0,121.1,794.1,571.8,793.6,576.1,1934.1,1965.7,healthy
431.0,0.0,50.0,370.0,352.6,28.0,31.3,37.5,1256780.6,183444.9,25.2,24.8,127.9,51.0,121.1,807.1,572.8,809.0,575.7,1946.3,1978.3,healthy
432.0,0.0,50.0,367.0,351.4,28.7,31.5,37.5,1260975.2,174007.8,25.7,24.3,127.8,51.1,121.1,749.2,587.1,747.5,590.8,1958.7,1990.2,healthy
433.0,0.0,50.0,367.4,351.6,28.7,31.3,37.5,1201674.1,165977.2,25.9,24.1,127.8,50.7,121.5,761.8,587.7,761.9,591.8,1970.1,2002.9,healthy
434.0,0.0,50.0,367.7,351.6,28.5,31.3,37.5,1171385.4,160385.0,25.9,24.1,127.8,50.7,121.5,777.4,587.7,777.9,591.8,1983.1,2014.0,healthy
435.0,0.0,50.0,368.1,351.8,28.5,31.2,37.8,1127882.7,160304.4,25.9,24.1,127.8,50.7,121.5,793.1,588.1,793.6,591.9,1994.4,2026.8,healthy
436.0,0.0,50.0,366.0,350.6,29.1,31.6,37.8,1128461.1,160343.1,26.2,23.8,127.8,50.7,121.5,810.1,588.2,808.1,591.6,2005.8,2039.2,healthy
437.0,0.0,50.0,365.6,350.6,29.3,31.7,38.1,1131326.3,160319.7,26.2,23.8,127.8,50.6,121.6,749.9,603.6,742.6,607.7,2017.1,2051.7,healthy
438.0,0.0,50.0,365.8,350.8,29.3,31.6,38.1,1078271.8,163189.6,26.1,23.9,127.8,50.5,121.7,763.4,603.3,756.1,607.3,2028.7,2064.0,healthy
439.0,0.0,50.0,366.0,351.2,29.2,31.6,38.5,1048634.2,167137.3,25.9,24.1,127.8,50.3,121.9,778.7,602.8,767.0,608.4,2040.3,2076.5,healthy
440.0,0.0,50.0,366.4,351.4,29.0,31.6,38.5,998555.1,172563.5,26.3,23.7,127.7,50.3,122.0,791.0,603.6,780.5,608.6,2051.1,2089.4,healthy
441.0,0.0,50.0,365.4,349.6,29.4,31.8,38.7,961367.6,180053.9,26.4,23.6,127.7,50.2,122.1,807.9,602.6,793.4,609.4,2064.7,2099.4,healthy
442.0,0.0,50.0,362.8,347.9,30.1,32.3,38.7,949444.0,189107.4,25.6,24.4,127.7,50.1,122.2,746.5,618.3,730.4,625.1,2077.2,2111.3,healthy
443.0,0.0,50.0,363.2,348.5,30.1,32.2,39.0,935691.3,198610.3,26.3,23.7,127.7,50.1,122.2,762.6,617.8,743.7,625.5,2089.2,2123.0,healthy
444.0,0.0,50.0,363.4,348.7,30.1,32.2,39.0,914488.7,187231.1,26.2,23.8,127.7,50.1,122.2,771.8,619.2,761.8,624.5,2100.2,2135.8,healthy
445.0,0.0,50.0,363.6,348.9,30.1,32.2,39.3,905761.0,181030.9,26.2,23.8,127.7,49.9,122.4,788.2,618.4,772.9,625.2,2112.2,2147.6,healthy
446.0,0.0,50.0,361.4,348.4,30.7,32.4,39.3,907250.0,180449.6,25.9,24.1,127.7,49.9,122.4,799.6,619.6,788.4,624.5,2125.0,2158.9,healthy
447.0,0.0,50.0,361.8,345.8,30.7,33.1,39.7,884116.8,177739.8,25.8,24.2,127.7,49.9,122.4,742.9,633.8,734.3,639.5,2136.7,2171.4,healthy
448.0,0.0,50.0,362.6,346.0,30.7,33.1,39.7,845097.5,180684.8,26.0,24.0,127.7,49.9,122.4,758.3,633.3,751.4,638.0,2147.6,2184.5,healthy
449.0,0.0,50.0,362.6,346.2,30.7,33.1,39.6,809865.2,187572.7,25.7,24.3,127.7,49.9,122.4,771.3,633.3,764.0,637.9,2159.8,2196.6,healthy
450.0,0.0,50.0,362.6,346.6,30.7,33.0,39.6,788386.4,192656.4,25.7,24.3,127.7,49.8,122.5,787.0,633.4,779.2,637.2,2172.6,2208.1,healthy
451.0,0.0,50.0,361.6,345.8,31.0,33.2,39.7,759690.6,203008.7,25.1,24.9,127.7,49.8,122.5,804.6,632.6,795.2,637.2,2186.1,2219.5,healthy
452.0,0.0,50.0,359.0,344.4,31.6,33.5,39.7,729187.8,214352.4,24.6,25.4,127.6,49.6,122.8,741.0,648.8,735.8,652.4,2198.5,2232.5,healthy
453.0,0.0,50.0,360.0,344.4,31.6,33.5,39.9,700898.1,226323.3,24.6,25.4,127.6,49.6,122.8,758.0,647.5,751.9,651.4,2210.0,2246.4,healthy
454.0,0.0,50.0,360.2,344.4,31.5,33.3,39.9,688079.8,234661.1,24.3,25.7,127.6,49.6,122.8,771.6,647.7,765.3,650.7,2223.9,2258.2,healthy
455.0,0.0,50.0,360.8,344.6,31.5,33.3,39.5,663649.0,247048.0,24.8,25.2,127.6,49.6,122.8,784.1,648.1,779.7,650.5,2236.7,2270.6,healthy
456.0,0.0,50.0,359.8,343.8,31.7,33.5,39.5,623101.2,260161.6,25.1,24.9,127.6,49.6,122.8,801.8,647.5,792.6,651.0,2250.8,2281.4,healthy
457.0,0.0,50.0,358.2,342.6,32.0,33.9,39.5,595812.2,274200.6,25.0,25.0,127.6,49.6,122.8,747.4,660.4,738.4,665.5,2263.3,2293.9,healthy
458.0,0.0,50.0,358.8,342.7,31.9,33.8,39.5,569407.8,290104.5,26.0,24.0,127.6,49.6,122.8,761.4,660.8,750.1,665.6,2276.0,2305.2,healthy
459.0,0.0,50.0,359.0,343.3,31.8,33.8,39.4,554815.0,308815.5,25.8,24.2,127.6,49.6,122.8,771.0,661.4,763.2,665.5,2288.5,2316.9,healthy
460.0,0.0,50.0,359.4,343.3,31.8,33.6,39.4,542113.9,326811.8,26.3,23.7,127.2,49.8,123.0,785.2,661.6,777.9,665.1,2301.7,2327.4,healthy
461.0,0.0,50.0,357.8,342.1,32.2,33.9,39.1,529247.0,338854.6,26.4,23.6,127.1,49.7,123.2,803.3,661.0,792.5,664.4,2311.7,2341.0,healthy
462.0,0.0,50.0,357.6,341.3,32.4,34.1,39.1,523040.5,314496.6,25.8,24.2,126.9,49.8,123.3,738.8,676.6,739.6,677.7,2325.1,2351.8,healthy
463.0,0.0,50.0,357.6,341.5,32.4,34.1,38.7,527678.9,296263.2,25.5,24.5,126.7,49.7,123.6,748.2,677.6,753.6,677.1,2337.8,2363.6,healthy
464.0,0.0,50.0,358.0,341.7,32.4,34.0,38.7,542773.5,273163.7,25.2,24.8,126.3,50.1,123.6,761.1,678.0,763.4,677.8,2351.1,2375.1,healthy
465.0,0.0,50.0,358.4,342.1,32.3,34.0,38.8,564678.4,260980.6,25.3,24.7,126.1,50.2,123.7,777.3,677.8,777.2,677.3,2363.5,2387.4,healthy
466.0,0.0,50.0,357.0,342.0,32.6,34.0,38.8,583934.9,251312.2,25.6,24.4,125.7,50.6,123.7,790.9,677.7,793.4,677.0,2375.0,2400.3,healthy
