tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
0.0,1.2292725943057188,1.2292725943057183,4.005551702879947,4.546060565661952,0.0,0.0,1.2292725943057188,724.2531478856147,3173.603050512496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.2292725943057188,1.2292725943057183,3.7475918193480524,5.0288059108389636,0.0,0.0,1.2292725943057188,804.1646044878569,3556.1796292588415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.100504934614613,1.1005049346146119,3.8005847503304606,4.521553322083512,0.0,0.0,1.100504934614613,797.6606699872096,4017.396267069838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.100504934614613,1.1005049346146119,4.442221666388715,4.812021982031623,0.0,0.0,1.100504934614613,831.0771390858439,4489.274503376538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0801234497346435,1.0801234497346435,4.521553322083512,5.672545969648706,0.0,0.0,1.0801234497346435,813.0477709075758,4758.125872885483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0801234497346435,1.0801234497346435,4.993328882953068,6.599663291074443,0.0,0.0,1.0801234497346435,770.7046487180129,4733.82110749633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.1547005383792521,1.1547005383792517,5.399588461684423,6.310485101972924,0.0,0.0,1.1547005383792521,666.7669007981724,5466.555613709402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.1547005383792521,1.1547005383792517,5.846176338238334,6.268084945889685,0.0,0.0,1.1547005383792521,581.1838875184953,5990.437950971902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.6996731711975976,1.699673171197595,6.8928304136335115,6.463573143221773,0.0,0.0,1.6996731711975976,588.1570179618516,6208.070400696179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.6996731711975976,1.699673171197595,7.933053216343208,7.067924416372571,0.0,0.0,1.6996731711975976,536.0499562126236,6835.746790057234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0248456731316606,2.0248456731316584,8.745792639257397,8.275801404630787,0.0,0.0,2.0248456731316606,569.8342839028827,7806.873923380316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0248456731316606,2.0248456731316584,8.537498983243799,9.143303560529969,0.0,0.0,2.0248456731316606,497.62865449828934,8815.443920252179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.6633299933166201,1.6633299933166197,8.329332372872257,9.323804659758448,0.0,0.0,1.6633299933166201,544.4198135017988,9848.81570771047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.6633299933166201,1.6633299933166197,8.422192905255338,10.782702196883056,0.0,0.0,1.6633299933166201,523.9794419207261,11420.638697842896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0575065816014626,2.0575065816014617,10.024414640710393,10.293471501663351,0.0,0.0,2.0575065816014626,499.4472611464264,12342.93075632994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0575065816014626,2.0575065816014617,10.165300454651273,12.263767773404712,0.0,0.0,2.0575065816014626,479.57533297699956,12325.341906909607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.9465068427541898,1.9465068427541916,10.250203250017371,12.30176139149729,0.0,0.0,1.9465068427541898,468.16408566987616,13624.938187831249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.9465068427541898,1.9465068427541916,10.1631141334184,12.86511216861754,0.0,0.0,1.9465068427541898,415.52869936985104,14869.370486936486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.357022603955159,2.357022603955158,9.342852288722588,13.099618315050252,0.0,0.0,2.357022603955159,424.6630559762776,16226.16716705869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.357022603955159,2.357022603955158,9.92415683516181,13.798550648528272,0.0,0.0,2.357022603955159,404.38541846444787,19258.891517945678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.2632326929023936,2.263232692902394,11.00302988574814,14.28130090557424,0.0,0.0,2.2632326929023936,415.33826909854787,25263.38721461466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.2632326929023936,2.263232692902394,11.935009193312105,13.669105473455256,0.0,0.0,2.2632326929023936,483.509898784112,32112.15958428624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.71269767715535,1.7126976771553495,12.380989010934824,15.493367756703007,0.0,0.0,1.71269767715535,633.4349479886101,39117.07208481853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.71269767715535,1.7126976771553495,12.649110640673518,16.090024514862893,0.0,0.0,1.71269767715535,716.6231072033456,46138.10210673074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
